"2024-12-16 11:11:17.239 GMT [71] NOTICE:  table ""product_model"" does not exist, skipping"
"2024-12-16 11:11:15.947 GMT [72] NOTICE:  table ""user_model"" does not exist, skipping"
"2024-12-16 11:11:15.941 GMT [72] NOTICE:  table ""k6model"" does not exist, skipping"
2024-12-16 11:10:59.919 GMT [1] LOG:  database system is ready to accept connections
2024-12-16 11:10:59.892 GMT [66] LOG:  database system was shut down at 2024-12-16 11:10:59 GMT
"2024-12-16 11:10:59.866 GMT [1] LOG:  listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432"""
"2024-12-16 11:10:59.835 GMT [1] LOG:  listening on IPv6 address ""::"", port 5432"
"2024-12-16 11:10:59.835 GMT [1] LOG:  listening on IPv4 address ""0.0.0.0"", port 5432"
"2024-12-16 11:10:59.834 GMT [1] LOG:  starting PostgreSQL 17.2 (Debian 17.2-1.pgdg120+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit"
2024-12-16 11:10:59.660 GMT [48] LOG:  database system is shut down
"2024-12-16 11:10:59.645 GMT [50] LOG:  checkpoint complete: wrote 921 buffers (5.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.099 s, sync=0.440 s, total=0.595 s; sync files=301, longest=0.013 s, average=0.002 s; distance=4238 kB, estimate=4238 kB; lsn=0/1908978, redo lsn=0/1908978"
2024-12-16 11:10:59.060 GMT [50] LOG:  checkpoint starting: shutdown immediate
2024-12-16 11:10:59.051 GMT [50] LOG:  shutting down
"2024-12-16 11:10:59.050 GMT [48] LOG:  background worker ""logical replication launcher"" (PID 55) exited with exit code 1"
2024-12-16 11:10:59.047 GMT [48] LOG:  aborting any active transactions
2024-12-16 11:10:59.033 GMT [48] LOG:  received fast shutdown request
2024-12-16 11:10:58.691 GMT [48] LOG:  database system is ready to accept connections
2024-12-16 11:10:58.661 GMT [1] LOG:  database system is ready to accept connections
2024-12-16 11:10:58.668 GMT [52] LOG:  database system was shut down at 2024-12-16 11:10:55 GMT
"2024-12-16 11:10:58.618 GMT [48] LOG:  listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432"""
"2024-12-16 11:10:58.595 GMT [48] LOG:  starting PostgreSQL 17.2 (Debian 17.2-1.pgdg120+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit"
2024-12-16 11:10:58.640 GMT [67] LOG:  database system was shut down at 2024-12-16 11:10:58 GMT
"2024-12-16 11:10:58.608 GMT [1] LOG:  listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432"""
"2024-12-16 11:10:58.575 GMT [1] LOG:  listening on IPv6 address ""::"", port 5432"
"2024-12-16 11:10:58.575 GMT [1] LOG:  listening on IPv4 address ""0.0.0.0"", port 5432"
